run_id	commit	resolution	wall_time_ms	model_ms	decode_ms	encode_ms	peak_vram_gb	text_score	layout_score	motion_score	loop_error	status	description
20260424T094528Z-modal-ltx-s6-seed585-960x544	nogit	960x544	1898.250	1119.654	0.000	221.846	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094530Z-modal-ltx-s8-seed585-960x544	nogit	960x544	2088.676	1289.249	0.000	223.751	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094532Z-modal-ltx-s2-seed585-1024x576	nogit	1024x576	1681.878	859.479	0.000	244.662	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094533Z-modal-ltx-s3-seed585-1024x576	nogit	1024x576	1757.240	945.995	0.000	234.236	14.1699	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094535Z-modal-ltx-s4-seed585-1024x576	nogit	1024x576	1893.122	1037.839	0.000	241.068	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094537Z-modal-ltx-s6-seed585-1024x576	nogit	1024x576	2044.640	1237.665	0.000	238.045	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094539Z-modal-ltx-s8-seed585-1024x576	nogit	1024x576	2229.021	1435.997	0.000	233.003	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094541Z-modal-ltx-s2-seed585-1280x736	nogit	1280x736	2308.925	1416.164	0.000	269.170	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094544Z-modal-ltx-s3-seed585-1280x736	nogit	1280x736	2525.728	1575.264	0.000	265.253	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094546Z-modal-ltx-s4-seed585-1280x736	nogit	1280x736	2625.243	1747.462	0.000	264.991	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094549Z-modal-ltx-s6-seed585-1280x736	nogit	1280x736	2961.412	2103.153	0.000	265.649	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094552Z-modal-ltx-s8-seed585-1280x736	nogit	1280x736	3313.513	2457.336	0.000	262.761	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=8 guidance=1.0
20260424T094555Z-modal-ltx-s2-seed586-768x448	nogit	768x448	1214.314	468.207	0.000	212.988	14.0137	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T094556Z-modal-ltx-s3-seed586-768x448	nogit	768x448	1380.047	520.728	0.000	214.794	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094558Z-modal-ltx-s4-seed586-768x448	nogit	768x448	1303.870	575.976	0.000	201.487	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094559Z-modal-ltx-s6-seed586-768x448	nogit	768x448	1457.294	683.118	0.000	201.324	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094600Z-modal-ltx-s8-seed586-768x448	nogit	768x448	1740.415	949.687	0.000	203.858	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094602Z-modal-ltx-s2-seed586-896x512	nogit	896x512	1559.228	667.557	0.000	293.354	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094604Z-modal-ltx-s3-seed586-896x512	nogit	896x512	1529.548	760.856	0.000	219.416	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094605Z-modal-ltx-s4-seed586-896x512	nogit	896x512	1727.857	855.771	0.000	229.937	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094607Z-modal-ltx-s6-seed586-896x512	nogit	896x512	1843.610	1005.292	0.000	232.436	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094609Z-modal-ltx-s8-seed586-896x512	nogit	896x512	2001.212	1156.191	0.000	245.392	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094611Z-modal-ltx-s2-seed586-960x544	nogit	960x544	1627.389	783.913	0.000	239.541	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094612Z-modal-ltx-s3-seed586-960x544	nogit	960x544	1733.171	867.793	0.000	237.717	14.1679	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094614Z-modal-ltx-s4-seed586-960x544	nogit	960x544	1783.676	950.825	0.000	251.649	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094616Z-modal-ltx-s6-seed586-960x544	nogit	960x544	1959.557	1124.141	0.000	251.561	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094618Z-modal-ltx-s8-seed586-960x544	nogit	960x544	2114.092	1297.083	0.000	248.445	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094620Z-modal-ltx-s2-seed586-1024x576	nogit	1024x576	1733.278	853.807	0.000	255.871	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094622Z-modal-ltx-s3-seed586-1024x576	nogit	1024x576	1785.587	951.878	0.000	250.955	14.1699	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094624Z-modal-ltx-s4-seed586-1024x576	nogit	1024x576	1871.585	1050.726	0.000	258.232	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094625Z-modal-ltx-s6-seed586-1024x576	nogit	1024x576	2068.771	1257.666	0.000	236.063	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094628Z-modal-ltx-s8-seed586-1024x576	nogit	1024x576	2296.705	1465.181	0.000	243.986	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094630Z-modal-ltx-s2-seed586-1280x736	nogit	1280x736	2341.662	1416.098	0.000	279.979	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094632Z-modal-ltx-s3-seed586-1280x736	nogit	1280x736	2574.079	1600.649	0.000	282.755	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094635Z-modal-ltx-s4-seed586-1280x736	nogit	1280x736	2761.248	1782.717	0.000	277.905	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094638Z-modal-ltx-s6-seed586-1280x736	nogit	1280x736	3027.850	2138.230	0.000	273.391	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=6 guidance=1.0
20260424T094641Z-modal-ltx-s8-seed586-1280x736	nogit	1280x736	3398.395	2477.050	0.000	281.318	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=8 guidance=1.0
20260424T094644Z-modal-ltx-s2-seed587-768x448	nogit	768x448	1272.484	480.974	0.000	227.627	14.0137	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T094645Z-modal-ltx-s3-seed587-768x448	nogit	768x448	1338.713	538.963	0.000	213.789	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094647Z-modal-ltx-s4-seed587-768x448	nogit	768x448	1361.341	586.808	0.000	228.766	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094648Z-modal-ltx-s6-seed587-768x448	nogit	768x448	1471.740	696.730	0.000	211.010	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094649Z-modal-ltx-s8-seed587-768x448	nogit	768x448	1592.483	814.428	0.000	217.175	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094651Z-modal-ltx-s2-seed587-896x512	nogit	896x512	1543.685	691.138	0.000	217.316	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094653Z-modal-ltx-s3-seed587-896x512	nogit	896x512	1558.452	753.376	0.000	234.424	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094654Z-modal-ltx-s4-seed587-896x512	nogit	896x512	1634.021	832.582	0.000	235.312	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094656Z-modal-ltx-s6-seed587-896x512	nogit	896x512	1958.471	978.989	0.000	219.305	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094658Z-modal-ltx-s8-seed587-896x512	nogit	896x512	2012.822	1150.336	0.000	235.461	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094700Z-modal-ltx-s2-seed587-960x544	nogit	960x544	1647.412	769.124	0.000	231.250	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094701Z-modal-ltx-s3-seed587-960x544	nogit	960x544	1721.776	871.773	0.000	230.065	14.1679	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094703Z-modal-ltx-s4-seed587-960x544	nogit	960x544	1873.244	942.052	0.000	244.086	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094705Z-modal-ltx-s6-seed587-960x544	nogit	960x544	1924.278	1116.153	0.000	227.855	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094707Z-modal-ltx-s8-seed587-960x544	nogit	960x544	2119.792	1302.441	0.000	233.286	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094709Z-modal-ltx-s2-seed587-1024x576	nogit	1024x576	1700.001	846.684	0.000	236.804	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094711Z-modal-ltx-s3-seed587-1024x576	nogit	1024x576	1752.512	939.513	0.000	236.534	14.1699	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094712Z-modal-ltx-s4-seed587-1024x576	nogit	1024x576	1923.475	1049.132	0.000	239.564	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
